description,industry,level,size,line_code,value
Type of internet connection used: fibre to the premise,Arts & recreation services,1,total,B0402,354
Type of internet connection used: fibre to the premise,Other services,1,total,B0402,867
Type of internet connection used: fibre to the premise,total,0,total,B0402,29529
Type of internet connection used: hyperfibre,total,0,6–19 employees,B0403,1191
Type of internet connection used: hyperfibre,total,0,20–49 employees,B0403,381
Type of internet connection used: hyperfibre,total,0,50–99 employees,B0403,165
Type of internet connection used: hyperfibre,total,0,100+ employees,B0403,198
Type of internet connection used: hyperfibre,"Agriculture, forestry, & fishing",1,total,B0403,6
Type of internet connection used: hyperfibre,Agriculture,2,total,B0403,0
Type of internet connection used: hyperfibre,Commercial fishing,2,total,B0403,0
Type of internet connection used: hyperfibre,Forestry & logging,2,total,B0403,3
Type of internet connection used: hyperfibre,"Agriculture, forestry, & fishing support services",2,total,B0403,3
Type of internet connection used: hyperfibre,Mining,1,total,B0403,9
Type of internet connection used: hyperfibre,Manufacturing,1,total,B0403,174
Type of internet connection used: hyperfibre,"Food, beverage, & tobacco",2,total,B0403,18
Type of internet connection used: hyperfibre,"Textile, clothing, footwear, & leather",2,total,B0403,9
Type of internet connection used: hyperfibre,Wood & paper product,2,total,B0403,24
Type of internet connection used: hyperfibre,"Printing, publishing, & recorded media",2,total,B0403,9
Type of internet connection used: hyperfibre,"Petroleum, coal, chemical, & associated product",2,total,B0403,21
Type of internet connection used: hyperfibre,Non-metallic mineral product,2,total,B0403,6
Type of internet connection used: hyperfibre,Metal product,2,total,B0403,42
Type of internet connection used: hyperfibre,Transport and industrial machinery & equipment,2,total,B0403,21
Type of internet connection used: hyperfibre,Other machinery & equipment,2,total,B0403,18
Type of internet connection used: hyperfibre,Other manufacturing,2,total,B0403,12
Type of internet connection used: hyperfibre,"Electricity, gas, water, & waste services",1,total,B0403,15
Type of internet connection used: hyperfibre,Construction,1,total,B0403,45
Type of internet connection used: hyperfibre,Wholesale trade,1,total,B0403,210
Type of internet connection used: hyperfibre,Machinery & equipment wholesaling,2,total,B0403,93
Type of internet connection used: hyperfibre,Other wholesale trade,2,total,B0403,117
Type of internet connection used: hyperfibre,Retail trade,1,total,B0403,312
Type of internet connection used: hyperfibre,Accommodation & food services,1,total,B0403,318
Type of internet connection used: hyperfibre,"Transport, postal, & warehousing",1,total,B0403,36
Type of internet connection used: hyperfibre,Information media & telecommunications,1,total,B0403,75
Type of internet connection used: hyperfibre,Publishing,2,total,B0403,18
Type of internet connection used: hyperfibre,Motion picture,2,total,B0403,15
Type of internet connection used: hyperfibre,Telecommunications,2,total,B0403,42
Type of internet connection used: hyperfibre,Financial & insurance services,1,total,B0403,72
Type of internet connection used: hyperfibre,Finance,2,total,B0403,27
Type of internet connection used: hyperfibre,Insurance,2,total,B0403,9
Type of internet connection used: hyperfibre,Auxiliary,2,total,B0403,39
Type of internet connection used: hyperfibre,"Rental, hiring, & real estate services",1,total,B0403,36
Type of internet connection used: hyperfibre,"Professional, scientific, & technical services",1,total,B0403,303
Type of internet connection used: hyperfibre,Computer systems design,2,total,B0403,129
Type of internet connection used: hyperfibre,Other professional scientific,2,total,B0403,177
Type of internet connection used: hyperfibre,Administrative & support services,1,total,B0403,66
Type of internet connection used: hyperfibre,Education & training,1,total,B0403,48
Type of internet connection used: hyperfibre,Health care & social assistance,1,total,B0403,144
Type of internet connection used: hyperfibre,Arts & recreation services,1,total,B0403,12
Type of internet connection used: hyperfibre,Other services,1,total,B0403,54
Type of internet connection used: hyperfibre,total,0,total,B0403,1938
Type of internet connection used: cable,total,0,6–19 employees,B0404,744
Type of internet connection used: cable,total,0,20–49 employees,B0404,216
Type of internet connection used: cable,total,0,50–99 employees,B0404,87
Type of internet connection used: cable,total,0,100+ employees,B0404,96
Type of internet connection used: cable,"Agriculture, forestry, & fishing",1,total,B0404,84
Type of internet connection used: cable,Agriculture,2,total,B0404,54
Type of internet connection used: cable,Commercial fishing,2,total,B0404,0
Type of internet connection used: cable,Forestry & logging,2,total,B0404,6
Type of internet connection used: cable,"Agriculture, forestry, & fishing support services",2,total,B0404,24
Type of internet connection used: cable,Mining,1,total,B0404,3
Type of internet connection used: cable,Manufacturing,1,total,B0404,162
Type of internet connection used: cable,"Food, beverage, & tobacco",2,total,B0404,36
Type of internet connection used: cable,"Textile, clothing, footwear, & leather",2,total,B0404,3
Type of internet connection used: cable,Wood & paper product,2,total,B0404,15
Type of internet connection used: cable,"Printing, publishing, & recorded media",2,total,B0404,6
Type of internet connection used: cable,"Petroleum, coal, chemical, & associated product",2,total,B0404,6
Type of internet connection used: cable,Non-metallic mineral product,2,total,B0404,9
Type of internet connection used: cable,Metal product,2,total,B0404,36
Type of internet connection used: cable,Transport and industrial machinery & equipment,2,total,B0404,18
Type of internet connection used: cable,Other machinery & equipment,2,total,B0404,21
Type of internet connection used: cable,Other manufacturing,2,total,B0404,12
Type of internet connection used: cable,"Electricity, gas, water, & waste services",1,total,B0404,9
Type of internet connection used: cable,Construction,1,total,B0404,150
Type of internet connection used: cable,Wholesale trade,1,total,B0404,69
Type of internet connection used: cable,Machinery & equipment wholesaling,2,total,B0404,27
Type of internet connection used: cable,Other wholesale trade,2,total,B0404,39
Type of internet connection used: cable,Retail trade,1,total,B0404,69
Type of internet connection used: cable,Accommodation & food services,1,total,B0404,132
Type of internet connection used: cable,"Transport, postal, & warehousing",1,total,B0404,27
Type of internet connection used: cable,Information media & telecommunications,1,total,B0404,15
Type of internet connection used: cable,Publishing,2,total,B0404,3
Type of internet connection used: cable,Motion picture,2,total,B0404,3
Type of internet connection used: cable,Telecommunications,2,total,B0404,9
Type of internet connection used: cable,Financial & insurance services,1,total,B0404,24
Type of internet connection used: cable,Finance,2,total,B0404,6
Type of internet connection used: cable,Insurance,2,total,B0404,6
Type of internet connection used: cable,Auxiliary,2,total,B0404,15
Type of internet connection used: cable,"Rental, hiring, & real estate services",1,total,B0404,36
Type of internet connection used: cable,"Professional, scientific, & technical services",1,total,B0404,126
Type of internet connection used: cable,Computer systems design,2,total,B0404,33
Type of internet connection used: cable,Other professional scientific,2,total,B0404,96
Type of internet connection used: cable,Administrative & support services,1,total,B0404,45
Type of internet connection used: cable,Education & training,1,total,B0404,33
Type of internet connection used: cable,Health care & social assistance,1,total,B0404,81
Type of internet connection used: cable,Arts & recreation services,1,total,B0404,54
Type of internet connection used: cable,Other services,1,total,B0404,18
Type of internet connection used: cable,total,0,total,B0404,1143
Type of internet connection used: fixed wireless,total,0,6–19 employees,B0405,5541
Type of internet connection used: fixed wireless,total,0,20–49 employees,B0405,1773
Type of internet connection used: fixed wireless,total,0,50–99 employees,B0405,492
Type of internet connection used: fixed wireless,total,0,100+ employees,B0405,456
Type of internet connection used: fixed wireless,"Agriculture, forestry, & fishing",1,total,B0405,951
Type of internet connection used: fixed wireless,Agriculture,2,total,B0405,714
Type of internet connection used: fixed wireless,Commercial fishing,2,total,B0405,12
Type of internet connection used: fixed wireless,Forestry & logging,2,total,B0405,33
Type of internet connection used: fixed wireless,"Agriculture, forestry, & fishing support services",2,total,B0405,192
Type of internet connection used: fixed wireless,Mining,1,total,B0405,36
Type of internet connection used: fixed wireless,Manufacturing,1,total,B0405,957
Type of internet connection used: fixed wireless,"Food, beverage, & tobacco",2,total,B0405,282
Type of internet connection used: fixed wireless,"Textile, clothing, footwear, & leather",2,total,B0405,36
Type of internet connection used: fixed wireless,Wood & paper product,2,total,B0405,123
Type of internet connection used: fixed wireless,"Printing, publishing, & recorded media",2,total,B0405,36
Type of internet connection used: fixed wireless,"Petroleum, coal, chemical, & associated product",2,total,B0405,96
Type of internet connection used: fixed wireless,Non-metallic mineral product,2,total,B0405,36
Type of internet connection used: fixed wireless,Metal product,2,total,B0405,90
